S.N,Company,High,Low,Average,Closing,Trade Volume,Share Volume
34.,PIC,"1,399.00",817.00,"1,156.36991.007,226,169,6295,962,087",991.00,"7,226,169,629","5,962,087"
35.,NIL,"1,900.00",950.00,"1,451.911,266.0017,487,871,54111,249,486","1,266.00","17,487,871,541","11,249,486"
36.,PRIN,"1,162.00",653.90,"898.34862.008,209,067,7538,561,984",862.00,"8,209,067,753","8,561,984"
37.,SIC,"1,890.00","1,008.00","1,442.091,331.004,444,286,6652,894,339","1,331.00","4,444,286,665","2,894,339"
38.,IGI,"1,465.00",865.00,"1,134.471,165.0012,180,196,64010,321,236","1,165.00","12,180,196,640","10,321,236"
39.,NLIC,"2,930.00","1,270.00","1,895.901,671.0030,868,331,45015,521,856","1,671.00","30,868,331,450","15,521,856"
40.,LICN,"2,800.00","1,700.00","2,210.062,369.006,927,947,5823,024,662","2,369.00","6,927,947,582","3,024,662"
41.,PICL,994.00,543.00,"772.25748.006,882,387,2048,436,731",748.00,"6,882,387,204","8,436,731"
42.,LGIL,975.00,566.50,"765.80788.009,540,129,35611,838,153",788.00,"9,540,129,356","11,838,153"
43.,SICL,"3,021.00","1,387.00","1,980.711,974.0019,306,221,3458,805,971","1,974.00","19,306,221,345","8,805,971"
44.,NFS,806.00,288.00,"484.78682.004,912,740,9319,276,789",682.00,"4,912,740,931","9,276,789"
45.,BNL,"1,903.90","1,866.60","1,902.860.00685,031360",0.00,"685,031",360
46.,NLO,316.00,274.00,"294.500.0011,78040",0.00,"11,780",40
47.,GUFL,"1,500.00",380.00,"815.15800.0010,660,735,05013,025,577",800.00,"10,660,735,050","13,025,577"
48.,CIT,"5,029.00","2,625.00","3,771.323,380.0016,909,704,0314,368,549","3,380.00","16,909,704,031","4,368,549"
49.,BNT,"17,670.00","8,328.00","10,782.3314,200.001,122,960,95996,498","14,200.00","1,122,960,959","96,498"
